Step,dice,loss_SparseWeightedDiceLoss,loss_NoGuessLoss,loss,epoch,lr
0,0.7923750877380371,0.2076249122619629,1.0742088556289673,0.21629074215888977,1,0.001
1,0.808282732963562,0.191717267036438,1.1334705352783203,0.2011348009109497,1,0.001
2,0.8295031785964966,0.17049682140350342,1.076228380203247,0.17955414950847626,1,0.001
3,0.8505951166152954,0.1494048833847046,1.134375810623169,0.15925459563732147,1,0.001
4,0.8675491213798523,0.1324508786201477,1.053288459777832,0.14165925979614258,1,0.001
5,0.8929654359817505,0.10703456401824951,1.1695363521575928,0.11765958368778229,1,0.001
6,0.9081981778144836,0.09180182218551636,1.0839450359344482,0.10172325372695923,1,0.001
7,0.9126409888267517,0.08735901117324829,0.9663662314414978,0.09614908695220947,1,0.001
8,0.9290324449539185,0.07096755504608154,1.0766977071762085,0.08102485537528992,1,0.001
9,0.935397744178772,0.06460225582122803,1.0868606567382812,0.07482483983039856,1,0.001
10,0.9424934387207031,0.057506561279296875,1.0040913820266724,0.06697241216897964,1,0.001
11,0.9499200582504272,0.050079941749572754,1.066896677017212,0.06024811044335365,1,0.001
12,0.9491701722145081,0.05082982778549194,0.9774705171585083,0.06009623408317566,1,0.001
13,0.9544028043746948,0.045597195625305176,1.0005930662155151,0.05514715611934662,1,0.001
14,0.9574366211891174,0.04256337881088257,0.9604615569114685,0.05174235999584198,1,0.001
15,0.9658110737800598,0.034188926219940186,1.0551257133483887,0.044398292899131775,1,0.001
16,0.9717200398445129,0.02827996015548706,1.0575675964355469,0.03857283666729927,1,0.001
17,0.9722042083740234,0.027795791625976562,1.018951416015625,0.03770734742283821,1,0.001
18,0.9711415767669678,0.028858423233032227,1.0133628845214844,0.038703467696905136,1,0.001
19,0.9710655212402344,0.028934478759765625,1.0244879722595215,0.038890011608600616,1,0.001
20,0.9751752614974976,0.02482473850250244,1.009434700012207,0.034670837223529816,1,0.001
21,0.9769982695579529,0.02300173044204712,1.1023567914962769,0.03379528224468231,1,0.001
22,0.9759033918380737,0.02409660816192627,1.0353727340698242,0.034209370613098145,1,0.001
23,0.9777457118034363,0.02225428819656372,1.0996302366256714,0.033028047531843185,1,0.001
24,0.9787519574165344,0.021248042583465576,0.9882820844650269,0.030918383970856667,1,0.001
25,0.9804941415786743,0.019505858421325684,1.1068588495254517,0.030379388481378555,1,0.001
26,0.980237603187561,0.019762396812438965,1.2160837650299072,0.03172561153769493,1,0.001
27,0.9823904633522034,0.01760953664779663,1.1322154998779297,0.02875559777021408,1,0.001
28,0.9802665710449219,0.019733428955078125,1.2374919652938843,0.03191101551055908,1,0.001
29,0.9816149473190308,0.01838505268096924,1.0950642824172974,0.02915184572339058,1,0.001
30,0.9817889928817749,0.018211007118225098,1.1423897743225098,0.029452793300151825,1,0.001
31,0.9834290742874146,0.01657092571258545,1.0469002723693848,0.026874219998717308,1,0.001
32,0.9826072454452515,0.017392754554748535,1.0872466564178467,0.028091292828321457,1,0.001
33,0.9841433167457581,0.015856683254241943,1.0883312225341797,0.026581428945064545,1,0.001
34,0.9842714667320251,0.015728533267974854,0.9674896001815796,0.025246143341064453,1,0.001
35,0.9839719533920288,0.01602804660797119,1.081130027770996,0.026679065078496933,1,0.001
36,0.9839960336685181,0.016003966331481934,1.1581578254699707,0.027425505220890045,1,0.001
37,0.9828341603279114,0.017165839672088623,1.1005343198776245,0.027999524027109146,1,0.001
38,0.9839389324188232,0.016061067581176758,1.1958420276641846,0.027858877554535866,1,0.001
