scene,radius,d,backend,frames,dice,fp_rate,fn_rate,fp_ratio,gv_ratio,infer_ms,pure_ms,peak_mb,predicted_pvv_folder
industrial,r60,8,fvdb,246,0.989107,0.003218,0.020718,0.305403,0.717013,30.005,27.637,306.6,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_industrial_r60_dice_20260522-163010_synthetic_may19_r60_fvdb_d8_b3_depth3_100ep-final_industrial_r60_fvdb_d8_100ep_metrics_zcv4xokC/inference/0
industrial,r60,8,spconv,246,0.993335,0.003708,0.010028,0.351138,0.767308,17.009,16.580,280.5,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_industrial_r60_dice_20260522-163851_synthetic_may19_r60_spconv_d8_b3_depth3_100ep-final_industrial_r60_spconv_d8_100ep_metrics_z3OKaN6G/inference/0
industrial,r60,16,fvdb,246,0.986902,0.003936,0.016321,0.373461,0.787150,31.204,27.082,391.0,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_industrial_r60_dice_20260522-164943_synthetic_may19_r60_fvdb_d16_b3_depth3_100ep-final_industrial_r60_fvdb_d16_100ep_metrics_bmdGp7f5/inference/0
industrial,r60,16,spconv,246,0.987362,0.003737,0.017149,0.354018,0.767259,17.135,16.717,339.2,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_industrial_r60_dice_20260522-165840_synthetic_may19_r60_spconv_d16_b3_depth3_100ep-final_industrial_r60_spconv_d16_100ep_metrics_KcLGFQvn/inference/0
industrial,r60,32,fvdb,246,0.958751,0.003327,0.072712,0.315799,0.705558,33.657,24.945,709.6,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_industrial_r60_dice_20260522-171002_synthetic_may19_r60_fvdb_d32_b3_depth3_100ep-final_industrial_r60_fvdb_d32_100ep_metrics_ZESQ5mS7/inference/0
robotlab,r30,8,fvdb,129,0.981327,0.007413,0.038956,0.403326,0.766494,31.213,27.834,353.5,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260522-150158_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_robotlab_r30_fvdb_d8_100ep_metrics_MqrymIWz/inference/0
robotlab,r30,8,spconv,129,0.979713,0.006442,0.041313,0.351656,0.713964,17.112,16.679,306.7,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260522-151657_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_robotlab_r30_spconv_d8_100ep_metrics_gAdISkp9/inference/0
robotlab,r30,16,fvdb,129,0.980300,0.009430,0.032954,0.512175,0.877676,34.484,27.588,461.4,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260522-153103_synthetic_may19_r30_fvdb_d16_b3_depth3_100ep-final_robotlab_r30_fvdb_d16_100ep_metrics_fK2IPb4q/inference/0
robotlab,r30,16,spconv,129,0.981440,0.009122,0.028041,0.495521,0.862931,17.611,17.197,382.7,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260522-154549_synthetic_may19_r30_spconv_d16_b3_depth3_100ep-final_robotlab_r30_spconv_d16_100ep_metrics_SAlHJcp5/inference/0
robotlab,r30,32,fvdb,129,0.956180,0.009114,0.079130,0.496175,0.844419,37.826,25.238,810.0,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260522-160054_synthetic_may19_r30_fvdb_d32_b3_depth3_100ep-final_robotlab_r30_fvdb_d32_100ep_metrics_2SHPe9vK/inference/0
robotlab,r30,32,spconv,129,0.966155,0.009142,0.058193,0.497726,0.853882,23.293,22.843,671.9,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260522-161730_synthetic_may19_r30_spconv_d32_b3_depth3_100ep-final_robotlab_r30_spconv_d32_100ep_metrics_xcxUUbiC/inference/0
robotlab,r60,8,fvdb,66,0.963762,0.005641,0.075670,0.306827,0.673059,31.319,27.943,350.1,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r60_dice_20260522-163140_synthetic_may19_r60_fvdb_d8_b3_depth3_100ep-final_robotlab_r60_fvdb_d8_100ep_metrics_EvdNOtpv/inference/0
robotlab,r60,8,spconv,66,0.979667,0.006624,0.041464,0.360794,0.740857,17.164,16.734,306.3,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_robotlab_r60_dice_20260522-164126_synthetic_may19_r60_spconv_d8_b3_depth3_100ep-final_robotlab_r60_spconv_d8_100ep_metrics_LtaUh1Cj/inference/0
robotlab,r60,16,fvdb,66,0.953229,0.006736,0.094352,0.365927,0.724865,34.723,27.732,461.1,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r60_dice_20260522-165116_synthetic_may19_r60_fvdb_d16_b3_depth3_100ep-final_robotlab_r60_fvdb_d16_100ep_metrics_Qx1BDSmt/inference/0
robotlab,r60,16,spconv,66,0.957601,0.006666,0.085787,0.361857,0.724074,17.730,17.312,382.4,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_robotlab_r60_dice_20260522-170124_synthetic_may19_r60_spconv_d16_b3_depth3_100ep-final_robotlab_r60_spconv_d16_100ep_metrics_jUCdvSDj/inference/0
robotlab,r60,32,fvdb,66,0.944689,0.008193,0.110096,0.444569,0.797016,37.977,25.268,818.9,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r60_dice_20260522-171153_synthetic_may19_r60_fvdb_d32_b3_depth3_100ep-final_robotlab_r60_fvdb_d32_100ep_metrics_BddIlTpm/inference/0
sponza,r30,8,fvdb,281,0.989783,0.019027,0.013198,0.452855,0.584765,35.706,28.578,449.4,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260522-150314_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_sponza_r30_fvdb_d8_100ep_metrics_wdIdYgL7/inference/0
sponza,r30,8,spconv,281,0.989864,0.012568,0.015585,0.298380,0.429973,17.415,16.983,366.5,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260522-151921_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_sponza_r30_spconv_d8_100ep_metrics_7PdYvxHz/inference/0
sponza,r30,16,fvdb,281,0.983254,0.020925,0.016374,0.496767,0.628260,39.909,28.051,608.1,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260522-153220_synthetic_may19_r30_fvdb_d16_b3_depth3_100ep-final_sponza_r30_fvdb_d16_100ep_metrics_kmPE7Mt2/inference/0
sponza,r30,16,spconv,281,0.977341,0.017236,0.032935,0.409870,0.539155,18.695,18.281,470.4,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260522-154812_synthetic_may19_r30_spconv_d16_b3_depth3_100ep-final_sponza_r30_spconv_d16_100ep_metrics_XmN71GgK/inference/0
sponza,r30,32,fvdb,281,0.952725,0.017036,0.076327,0.403305,0.526863,44.961,26.708,972.9,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260522-160220_synthetic_may19_r30_fvdb_d32_b3_depth3_100ep-final_sponza_r30_fvdb_d32_100ep_metrics_ezQYvqX2/inference/0
sponza,r30,32,spconv,281,0.961740,0.016192,0.063947,0.384245,0.509391,23.803,23.351,770.5,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260522-162003_synthetic_may19_r30_spconv_d32_b3_depth3_100ep-final_sponza_r30_spconv_d32_100ep_metrics_5BntV954/inference/0
sponza,r60,8,fvdb,146,0.980183,0.011466,0.037331,0.273859,0.417729,35.920,28.698,449.6,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_sponza_r60_dice_20260522-163233_synthetic_may19_r60_fvdb_d8_b3_depth3_100ep-final_sponza_r60_fvdb_d8_100ep_metrics_THHbfw2O/inference/0
