Step,dice,loss_SparseWeightedDiceLoss,loss_NoGuessLoss,loss,epoch,lr
0,0.7905651926994324,0.20943480730056763,1.3188238143920898,0.220528706908226,1,0.001
1,0.8059383630752563,0.19406163692474365,1.337424874305725,0.20549528300762177,1,0.001
2,0.8311226963996887,0.16887730360031128,1.3609073162078857,0.18079759180545807,1,0.001
3,0.8583213686943054,0.14167863130569458,1.3608938455581665,0.15387077629566193,1,0.001
4,0.8885546326637268,0.1114453673362732,1.3503326177597046,0.12383424490690231,1,0.001
5,0.9138731360435486,0.08612686395645142,1.3249773979187012,0.09851537644863129,1,0.001
6,0.9338366389274597,0.06616336107254028,1.3666517734527588,0.07916824519634247,1,0.001
7,0.9438599944114685,0.056140005588531494,1.3466583490371704,0.06904518604278564,1,0.001
8,0.9561371803283691,0.04386281967163086,1.3518463373184204,0.0569426566362381,1,0.001
9,0.962334394454956,0.037665605545043945,1.362196445465088,0.050910912454128265,1,0.001
10,0.9644317626953125,0.0355682373046875,1.3559370040893555,0.048771925270557404,1,0.001
11,0.9689468741416931,0.031053125858306885,1.3513004779815674,0.04425559937953949,1,0.001
12,0.9738003015518188,0.026199698448181152,1.3942745923995972,0.03988044708967209,1,0.001
13,0.9679893255233765,0.032010674476623535,1.3557815551757812,0.04524838179349899,1,0.001
14,0.9697783589363098,0.030221641063690186,1.3720111846923828,0.04363953694701195,1,0.001
15,0.9721187949180603,0.027881205081939697,1.3661669492721558,0.041264064610004425,1,0.001
16,0.9714168310165405,0.028583168983459473,1.3629741668701172,0.04192707687616348,1,0.001
17,0.972194492816925,0.02780550718307495,1.3768389225006104,0.041295841336250305,1,0.001
18,0.9781008362770081,0.021899163722991943,1.392162561416626,0.03560179844498634,1,0.001
19,0.9746703505516052,0.025329649448394775,1.3799057006835938,0.038875408470630646,1,0.001
20,0.9752386808395386,0.024761319160461426,1.3920354843139648,0.03843406215310097,1,0.001
21,0.9802470803260803,0.019752919673919678,1.381321668624878,0.03336860612034798,1,0.001
22,0.9787560701370239,0.021243929862976074,1.3871387243270874,0.03490287810564041,1,0.001
23,0.9773586988449097,0.022641301155090332,1.4098267555236816,0.036513157188892365,1,0.001
24,0.9778102040290833,0.022189795970916748,1.3909910917282104,0.035877808928489685,1,0.001
25,0.9789621233940125,0.02103787660598755,1.3848779201507568,0.03467627614736557,1,0.001
26,0.9814940690994263,0.01850593090057373,1.3942174911499023,0.032263047993183136,1,0.001
27,0.9754151105880737,0.02458488941192627,1.4262020587921143,0.03860106319189072,1,0.001
28,0.9776731729507446,0.02232682704925537,1.388820767402649,0.035991765558719635,1,0.001
29,0.9786868691444397,0.021313130855560303,1.3932147026062012,0.03503214567899704,1,0.001
30,0.9746081233024597,0.025391876697540283,1.3998260498046875,0.03913621976971626,1,0.001
31,0.9819908142089844,0.018009185791015625,1.3976471424102783,0.03180556744337082,1,0.001
32,0.9810388684272766,0.01896113157272339,1.401599407196045,0.0327875129878521,1,0.001
33,0.9781013131141663,0.02189868688583374,1.3957147598266602,0.03563684597611427,1,0.001
34,0.9772960543632507,0.022703945636749268,1.4052643775939941,0.0365295484662056,1,0.001
35,0.9803013801574707,0.019698619842529297,1.4156924486160278,0.03365855664014816,1,0.001
36,0.9792412519454956,0.020758748054504395,1.3970714807510376,0.03452187404036522,1,0.001
37,0.9804776310920715,0.019522368907928467,1.389823079109192,0.03322537615895271,1,0.001
38,0.980646550655365,0.01935344934463501,1.4392590522766113,0.03355250507593155,1,0.001
39,0.9802256226539612,0.01977437734603882,1.4154832363128662,0.03373146429657936,1,0.001
40,0.981629490852356,0.018370509147644043,1.4363676309585571,0.03255048021674156,1,0.001
41,0.9789512753486633,0.02104872465133667,1.4143837690353394,0.03498207777738571,1,0.001
42,0.9798845648765564,0.020115435123443604,1.3980447053909302,0.033894725143909454,1,0.001
43,0.9819216132164001,0.018078386783599854,1.4310133457183838,0.032207734882831573,1,0.001
44,0.9799724817276001,0.020027518272399902,1.375439167022705,0.03358163312077522,1,0.001
45,0.9823012948036194,0.017698705196380615,1.398686170578003,0.03150857985019684,1,0.001
46,0.9814993739128113,0.01850062608718872,1.4004958868026733,0.03232058137655258,2,0.00095
47,0.9805089235305786,0.019491076469421387,1.4243736267089844,0.03353990241885185,2,0.00095
48,0.9819456338882446,0.01805436611175537,1.3874412775039673,0.03174823522567749,2,0.00095
49,0.9805096387863159,0.019490361213684082,1.4034801721572876,0.03333025798201561,2,0.00095
50,0.981815755367279,0.018184244632720947,1.4107367992401123,0.03210977092385292,2,0.00095
51,0.9822824001312256,0.017717599868774414,1.4112149477005005,0.03165257349610329,2,0.00095
52,0.9826103448867798,0.017389655113220215,1.4351224899291992,0.031566984951496124,2,0.00095
53,0.9812222719192505,0.01877772808074951,1.4192200899124146,0.03278215229511261,2,0.00095
54,0.9813620448112488,0.01863795518875122,1.4268910884857178,0.03272048383951187,2,0.00095
55,0.9821902513504028,0.017809748649597168,1.3997161388397217,0.0316288135945797,2,0.00095
56,0.9803301095962524,0.01966989040374756,1.391578197479248,0.03338897228240967,2,0.00095
57,0.9812082052230835,0.018791794776916504,1.4236563444137573,0.032840438187122345,2,0.00095
58,0.9816877841949463,0.01831221580505371,1.380659818649292,0.031935691833496094,2,0.00095
59,0.9820865392684937,0.017913460731506348,1.403876781463623,0.03177309408783913,2,0.00095
60,0.9816936254501343,0.018306374549865723,1.4119000434875488,0.0322423093020916,2,0.00095
61,0.9822307825088501,0.017769217491149902,1.4031367301940918,0.03162289410829544,2,0.00095
62,0.9809910655021667,0.019008934497833252,1.3705170154571533,0.03252401575446129,2,0.00095
63,0.9814393520355225,0.01856064796447754,1.4165184497833252,0.032540224492549896,2,0.00095
64,0.9816572070121765,0.018342792987823486,1.3895126581192017,0.032054491341114044,2,0.00095
65,0.9810792207717896,0.01892077922821045,1.4190903902053833,0.03292247653007507,2,0.00095
66,0.9825824499130249,0.017417550086975098,1.4028489589691162,0.03127186372876167,2,0.00095
67,0.9810782074928284,0.01892179250717163,1.4134098291397095,0.032866671681404114,2,0.00095
68,0.981949508190155,0.01805049180984497,1.4074339866638184,0.03194432705640793,2,0.00095
69,0.9818798899650574,0.018120110034942627,1.3880805969238281,0.03181971609592438,2,0.00095
70,0.9823083877563477,0.017691612243652344,1.3765236139297485,0.03127993270754814,2,0.00095
71,0.9827476143836975,0.01725238561630249,1.4037402868270874,0.031117264181375504,2,0.00095
72,0.9824813008308411,0.017518699169158936,1.355130672454834,0.030894817784428596,2,0.00095
73,0.9806986451148987,0.01930135488510132,1.4124772548675537,0.03323311358690262,2,0.00095
74,0.9807806015014648,0.019219398498535156,1.3828072547912598,0.03285527974367142,2,0.00095
75,0.9824631214141846,0.01753687858581543,1.3819712400436401,0.031181223690509796,2,0.00095
76,0.9835813045501709,0.0164186954498291,1.3887733221054077,0.030142242088913918,2,0.00095
77,0.9824400544166565,0.017559945583343506,1.3990209102630615,0.031374555081129074,2,0.00095
78,0.9819296598434448,0.018070340156555176,1.4235613346099854,0.03212524950504303,2,0.00095
79,0.98211270570755,0.01788729429244995,1.3999359607696533,0.031707778573036194,2,0.00095
80,0.9829751253128052,0.017024874687194824,1.3984681367874146,0.030839305371046066,2,0.00095
81,0.9828238487243652,0.017176151275634766,1.381601095199585,0.030820399522781372,2,0.00095
82,0.9835488796234131,0.016451120376586914,1.36726713180542,0.02995928004384041,2,0.00095
83,0.9830341935157776,0.016965806484222412,1.402171015739441,0.03081785887479782,2,0.00095
84,0.9822600483894348,0.017739951610565186,1.4030804634094238,0.031593356281518936,2,0.00095
85,0.982498824596405,0.01750117540359497,1.3789844512939453,0.031116006895899773,2,0.00095
86,0.9810311198234558,0.01896888017654419,1.383615255355835,0.03261534497141838,2,0.00095
87,0.9820441007614136,0.017955899238586426,1.3747262954711914,0.031523603945970535,2,0.00095
88,0.9820137619972229,0.0179862380027771,1.4168784618377686,0.031975157558918,2,0.00095
89,0.9833914637565613,0.01660853624343872,1.3873623609542847,0.030316075310111046,2,0.00095
90,0.9814856052398682,0.018514394760131836,1.401498794555664,0.032344236969947815,2,0.00095
91,0.9830766320228577,0.016923367977142334,1.4009050130844116,0.030763182789087296,2,0.00095
92,0.9834531545639038,0.01654684543609619,1.417130947113037,0.030552685260772705,3,0.0009025
93,0.9832146167755127,0.016785383224487305,1.3894068002700806,0.03051159717142582,3,0.0009025
94,0.9839998483657837,0.01600015163421631,1.3820855617523193,0.02966100536286831,3,0.0009025
95,0.9827080965042114,0.017291903495788574,1.4014016389846802,0.031132999807596207,3,0.0009025
96,0.9816858768463135,0.018314123153686523,1.3619492053985596,0.031750474125146866,3,0.0009025
97,0.9827185869216919,0.017281413078308105,1.4066585302352905,0.03117518499493599,3,0.0009025
98,0.9824297428131104,0.01757025718688965,1.394406795501709,0.03133862093091011,3,0.0009025
99,0.983016848564148,0.01698315143585205,1.3764069080352783,0.030577387660741806,3,0.0009025
100,0.982606053352356,0.017393946647644043,1.3783670663833618,0.0310036763548851,3,0.0009025
101,0.983826756477356,0.016173243522644043,1.4048938751220703,0.030060451477766037,3,0.0009025
102,0.983025312423706,0.016974687576293945,1.3798471689224243,0.03060341253876686,3,0.0009025
103,0.9825747013092041,0.0174252986907959,1.39451265335083,0.031196173280477524,3,0.0009025
104,0.9838005304336548,0.016199469566345215,1.3808643817901611,0.02984611876308918,3,0.0009025
105,0.9833106994628906,0.016689300537109375,1.4081026315689087,0.03060343489050865,3,0.0009025
106,0.9823300242424011,0.017669975757598877,1.3999320268630981,0.03149259462952614,3,0.0009025
107,0.9837063550949097,0.016293644905090332,1.363850474357605,0.029769212007522583,3,0.0009025
108,0.9820006489753723,0.017999351024627686,1.4011561870574951,0.03183092176914215,3,0.0009025
109,0.9834837913513184,0.01651620864868164,1.3679890632629395,0.030030936002731323,3,0.0009025
110,0.9837980270385742,0.01620197296142578,1.3848984241485596,0.029888935387134552,3,0.0009025
111,0.9829806089401245,0.01701939105987549,1.3524518013000488,0.030373714864253998,3,0.0009025
112,0.9829453229904175,0.01705467700958252,1.3888158798217773,0.030772287398576736,3,0.0009025
113,0.9827712178230286,0.017228782176971436,1.3819892406463623,0.030876386910676956,3,0.0009025
114,0.9826623201370239,0.017337679862976074,1.3883628845214844,0.03104793280363083,3,0.0009025
115,0.9823468923568726,0.01765310764312744,1.4047389030456543,0.031523965299129486,3,0.0009025
116,0.9824122190475464,0.017587780952453613,1.4341508150100708,0.031753409653902054,3,0.0009025
117,0.9825229048728943,0.017477095127105713,1.374874472618103,0.031051069498062134,3,0.0009025
118,0.9812033176422119,0.018796682357788086,1.3700975179672241,0.03230968862771988,3,0.0009025
119,0.9824743866920471,0.01752561330795288,1.392975926399231,0.031280115246772766,3,0.0009025
120,0.9836382269859314,0.016361773014068604,1.3822853565216064,0.030021008104085922,3,0.0009025
121,0.9830303192138672,0.016969680786132812,1.396043300628662,0.030760416761040688,3,0.0009025
122,0.9821739792823792,0.01782602071762085,1.3864670991897583,0.03151243180036545,3,0.0009025
123,0.9817518591880798,0.018248140811920166,1.4137839078903198,0.03220349922776222,3,0.0009025
124,0.9829384088516235,0.017061591148376465,1.3932284116744995,0.03082325868308544,3,0.0009025
125,0.9817569255828857,0.018243074417114258,1.3911316394805908,0.03197196125984192,3,0.0009025
126,0.983013391494751,0.016986608505249023,1.3833084106445312,0.030649825930595398,3,0.0009025
127,0.983211100101471,0.016788899898529053,1.3610143661499023,0.030231153592467308,3,0.0009025
128,0.9828224182128906,0.017177581787109375,1.3817899227142334,0.030823705717921257,3,0.0009025
129,0.9817685484886169,0.018231451511383057,1.3641674518585205,0.031690813601017,3,0.0009025
130,0.9825776219367981,0.017422378063201904,1.3616666793823242,0.030864819884300232,3,0.0009025
131,0.9831361770629883,0.01686382293701172,1.3796000480651855,0.030491184443235397,3,0.0009025
132,0.9820950627326965,0.017904937267303467,1.404610514640808,0.03177199512720108,3,0.0009025
133,0.983196496963501,0.016803503036499023,1.3845874071121216,0.03048134222626686,3,0.0009025
134,0.9834537506103516,0.016546249389648438,1.371644377708435,0.03009723126888275,3,0.0009025
135,0.9825748205184937,0.017425179481506348,1.37742280960083,0.031025154516100883,3,0.0009025
136,0.9823588728904724,0.017641127109527588,1.382641315460205,0.03129112720489502,3,0.0009025
137,0.9829978346824646,0.0170021653175354,1.402117133140564,0.030853314325213432,3,0.0009025
138,0.9838566184043884,0.016143381595611572,1.37476646900177,0.029729612171649933,4,0.000857375
139,0.982684850692749,0.017315149307250977,1.3964139223098755,0.031106136739253998,4,0.000857375
140,0.9835136532783508,0.01648634672164917,1.3568298816680908,0.029889782890677452,4,0.000857375
141,0.9823961853981018,0.017603814601898193,1.3839590549468994,0.03126736730337143,4,0.000857375
142,0.9835512638092041,0.0164487361907959,1.3747797012329102,0.030032046139240265,4,0.000857375
143,0.983870804309845,0.01612919569015503,1.3753308057785034,0.0297212116420269,4,0.000857375
144,0.9842932820320129,0.01570671796798706,1.3573607206344604,0.029123257845640182,4,0.000857375
145,0.9827407598495483,0.01725924015045166,1.4161183834075928,0.031247831881046295,4,0.000857375
146,0.982920229434967,0.01707977056503296,1.4016609191894531,0.030925583094358444,4,0.000857375
147,0.982893168926239,0.017106831073760986,1.3680833578109741,0.030616596341133118,4,0.000857375
148,0.9834229350090027,0.016577064990997314,1.3860864639282227,0.030272159725427628,4,0.000857375
149,0.9827805161476135,0.017219483852386475,1.3709551095962524,0.030756840482354164,4,0.000857375
150,0.9841983318328857,0.015801668167114258,1.3566889762878418,0.029210541397333145,4,0.000857375
151,0.9831209778785706,0.016879022121429443,1.378990888595581,0.03050014190375805,4,0.000857375
152,0.9833087921142578,0.016691207885742188,1.3573939800262451,0.030098237097263336,4,0.000857375
153,0.9836530089378357,0.016346991062164307,1.3931159973144531,0.030114680528640747,4,0.000857375
154,0.983302891254425,0.01669710874557495,1.3850300312042236,0.030380437150597572,4,0.000857375
155,0.9832490682601929,0.01675093173980713,1.3992925882339478,0.030576348304748535,4,0.000857375
156,0.9848556518554688,0.01514434814453125,1.369240164756775,0.028685305267572403,4,0.000857375
157,0.9835938215255737,0.01640617847442627,1.377097487449646,0.03001309186220169,4,0.000857375
158,0.9821765422821045,0.017823457717895508,1.3692572116851807,0.03133779391646385,4,0.000857375
159,0.9822757840156555,0.017724215984344482,1.39037024974823,0.031450677663087845,4,0.000857375
160,0.9834030270576477,0.016596972942352295,1.4024485349655151,0.030455488711595535,4,0.000857375
161,0.9836704134941101,0.016329586505889893,1.3596035242080688,0.029762323945760727,4,0.000857375
162,0.9821168184280396,0.01788318157196045,1.4045567512512207,0.0317499153316021,4,0.000857375
163,0.9824315309524536,0.017568469047546387,1.3728779554367065,0.03112156316637993,4,0.000857375
164,0.9834961295127869,0.016503870487213135,1.3671739101409912,0.03001057170331478,4,0.000857375
165,0.9839358329772949,0.016064167022705078,1.4049558639526367,0.029953083023428917,4,0.000857375
166,0.9828611612319946,0.01713883876800537,1.3983465433120728,0.030950915068387985,4,0.000857375
167,0.9829573631286621,0.01704263687133789,1.3554502725601196,0.030426712706685066,4,0.000857375
168,0.984270453453064,0.015729546546936035,1.3860893249511719,0.02943314239382744,4,0.000857375
169,0.9844357967376709,0.015564203262329102,1.3732119798660278,0.02914068102836609,4,0.000857375
170,0.9830847978591919,0.016915202140808105,1.3904739618301392,0.03065078891813755,4,0.000857375
171,0.9845103621482849,0.015489637851715088,1.3838022947311401,0.029172763228416443,4,0.000857375
172,0.9828054308891296,0.01719456911087036,1.373958706855774,0.030762210488319397,4,0.000857375
173,0.9838507175445557,0.016149282455444336,1.3492214679718018,0.02948000282049179,4,0.000857375
174,0.9829896688461304,0.01701033115386963,1.3692121505737305,0.0305323489010334,4,0.000857375
175,0.9823809266090393,0.017619073390960693,1.3967933654785156,0.031410813331604004,4,0.000857375
176,0.9834365248680115,0.016563475131988525,1.393101692199707,0.030328858643770218,4,0.000857375
177,0.984309196472168,0.01569080352783203,1.382401704788208,0.02935791201889515,4,0.000857375
178,0.9835160970687866,0.01648390293121338,1.3714804649353027,0.030033867806196213,4,0.000857375
179,0.9831685423851013,0.01683145761489868,1.402908205986023,0.030692225322127342,4,0.000857375
180,0.9829971790313721,0.01700282096862793,1.3721072673797607,0.030553866177797318,4,0.000857375
181,0.9826413989067078,0.017358601093292236,1.3881338834762573,0.031066354364156723,4,0.000857375
182,0.9831754565238953,0.016824543476104736,1.3720287084579468,0.030376585200428963,4,0.000857375
183,0.98410564661026,0.01589435338973999,1.3833730220794678,0.029569139704108238,4,0.000857375
184,0.984558641910553,0.015441358089447021,1.3491226434707642,0.02877817116677761,5,0.0008145062499999999
185,0.9838066697120667,0.01619333028793335,1.4012867212295532,0.03004426509141922,5,0.0008145062499999999
186,0.9838329553604126,0.016167044639587402,1.3952244520187378,0.029957618564367294,5,0.0008145062499999999
187,0.9843652248382568,0.015634775161743164,1.3799060583114624,0.029277488589286804,5,0.0008145062499999999
188,0.9837092757225037,0.016290724277496338,1.3932114839553833,0.0300599317997694,5,0.0008145062499999999
189,0.984377384185791,0.015622615814208984,1.3853942155838013,0.029320333153009415,5,0.0008145062499999999
190,0.9839931726455688,0.016006827354431152,1.3519618511199951,0.029366377741098404,5,0.0008145062499999999
191,0.9834370017051697,0.016562998294830322,1.3637473583221436,0.03003484010696411,5,0.0008145062499999999
192,0.9851561784744263,0.01484382152557373,1.3321770429611206,0.028017153963446617,5,0.0008145062499999999
193,0.9827727675437927,0.017227232456207275,1.381410002708435,0.03086905926465988,5,0.0008145062499999999
194,0.9844223260879517,0.01557767391204834,1.3594402074813843,0.029016299173235893,5,0.0008145062499999999
195,0.9823494553565979,0.0176505446434021,1.3742886781692505,0.031216925010085106,5,0.0008145062499999999
196,0.9842820167541504,0.01571798324584961,1.3449249267578125,0.029010053724050522,5,0.0008145062499999999
197,0.9838715195655823,0.016128480434417725,1.3566712141036987,0.029533907771110535,5,0.0008145062499999999
198,0.9841849207878113,0.01581507921218872,1.3849812746047974,0.02950674295425415,5,0.0008145062499999999
199,0.9843186140060425,0.01568138599395752,1.372753381729126,0.029252106323838234,5,0.0008145062499999999
200,0.9839645624160767,0.01603543758392334,1.3708001375198364,0.02958308346569538,5,0.0008145062499999999
201,0.9837032556533813,0.016296744346618652,1.411787748336792,0.030251655727624893,5,0.0008145062499999999
202,0.9838076233863831,0.016192376613616943,1.3931349515914917,0.029961802065372467,5,0.0008145062499999999
203,0.9834470748901367,0.01655292510986328,1.3829262256622314,0.030216656625270844,5,0.0008145062499999999
204,0.9840792417526245,0.01592075824737549,1.3641537427902222,0.029403086751699448,5,0.0008145062499999999
205,0.9833242297172546,0.01667577028274536,1.3620063066482544,0.030129075050354004,5,0.0008145062499999999
206,0.9842738509178162,0.015726149082183838,1.3798176050186157,0.02936706319451332,5,0.0008145062499999999
207,0.9842364192008972,0.015763580799102783,1.3529741764068604,0.02913568541407585,5,0.0008145062499999999
208,0.98338782787323,0.01661217212677002,1.3759677410125732,0.030205726623535156,5,0.0008145062499999999
209,0.9830754399299622,0.016924560070037842,1.3820171356201172,0.03057548590004444,5,0.0008145062499999999
210,0.9822257161140442,0.01777428388595581,1.38343346118927,0.03143087401986122,5,0.0008145062499999999
211,0.9828702807426453,0.017129719257354736,1.3652788400650024,0.03061121143400669,5,0.0008145062499999999
212,0.9843941330909729,0.0156058669090271,1.373021125793457,0.029180020093917847,5,0.0008145062499999999
213,0.983363687992096,0.016636312007904053,1.3703954219818115,0.030173903331160545,5,0.0008145062499999999
214,0.9837153553962708,0.016284644603729248,1.3567637205123901,0.02968943491578102,5,0.0008145062499999999
215,0.9835692048072815,0.016430795192718506,1.3762712478637695,0.03002920001745224,5,0.0008145062499999999
216,0.9835503697395325,0.01644963026046753,1.3733166456222534,0.03001829981803894,5,0.0008145062499999999
217,0.9843904972076416,0.015609502792358398,1.3734244108200073,0.029187651351094246,5,0.0008145062499999999
218,0.9850847125053406,0.014915287494659424,1.3693821430206299,0.028459955006837845,5,0.0008145062499999999
219,0.9839608669281006,0.016039133071899414,1.3917168378829956,0.02979591116309166,5,0.0008145062499999999
220,0.9830098748207092,0.01699012517929077,1.3480359315872192,0.030300583690404892,5,0.0008145062499999999
221,0.9842633008956909,0.015736699104309082,1.368679404258728,0.029266126453876495,5,0.0008145062499999999
222,0.9832944869995117,0.01670551300048828,1.3877527713775635,0.030415985733270645,5,0.0008145062499999999
223,0.9834033846855164,0.016596615314483643,1.3549696207046509,0.02998034656047821,5,0.0008145062499999999
224,0.9830540418624878,0.016945958137512207,1.3388640880584717,0.030165139585733414,5,0.0008145062499999999
225,0.9839399456977844,0.016060054302215576,1.3433849811553955,0.02933330275118351,5,0.0008145062499999999
226,0.9846446514129639,0.015355348587036133,1.3499197959899902,0.028700992465019226,5,0.0008145062499999999
227,0.983168363571167,0.016831636428833008,1.3795819282531738,0.030459139496088028,5,0.0008145062499999999
228,0.9829578399658203,0.017042160034179688,1.3682342767715454,0.03055408224463463,5,0.0008145062499999999
229,0.9838281869888306,0.016171813011169434,1.3803361654281616,0.029813455417752266,5,0.0008145062499999999
230,0.9827500581741333,0.0172499418258667,1.3667793273925781,0.030745234340429306,6,0.0007737809374999998
231,0.9836589097976685,0.016341090202331543,1.371238350868225,0.029890064150094986,6,0.0007737809374999998
232,0.9845756888389587,0.01542431116104126,1.393930435180664,0.029209371656179428,6,0.0007737809374999998
233,0.9843078255653381,0.015692174434661865,1.3799189329147339,0.02933444082736969,6,0.0007737809374999998
234,0.9840971827507019,0.015902817249298096,1.3594163656234741,0.02933795191347599,6,0.0007737809374999998
235,0.9842958450317383,0.01570415496826172,1.3525657653808594,0.029072770848870277,6,0.0007737809374999998
236,0.9833981990814209,0.0166018009185791,1.3995108604431152,0.03043089061975479,6,0.0007737809374999998
237,0.9841725826263428,0.015827417373657227,1.370732307434082,0.02937646582722664,6,0.0007737809374999998
238,0.984052300453186,0.015947699546813965,1.350362777709961,0.029291851446032524,6,0.0007737809374999998
239,0.9826483130455017,0.01735168695449829,1.3619835376739502,0.030798006802797318,6,0.0007737809374999998
