label,frame,fvdb_per_percent,fvdb_ssim,spconv_per_percent,spconv_ssim,per_delta_fvdb_minus_spconv,combined_per_percent
best 1,2979,0.02298355,0.99936884,0.05006790,0.99928067,-0.02708435,0.03652573
best 2,3371,0.03948212,0.99983667,0.06895065,0.99952704,-0.02946854,0.05421638
best 3,3327,0.04444122,0.99978099,0.06513596,0.99965186,-0.02069473,0.05478859
worst 1,2786,2.67696381,0.97728902,2.27994919,0.98557370,0.39701462,2.47845650
worst 2,2744,2.39048004,0.96169687,1.40466690,0.97768210,0.98581314,1.89757347
worst 3,2705,2.02684402,0.97647111,1.61952972,0.97934810,0.40731430,1.82318687
