label,frame,fvdb_per_percent,fvdb_ssim,spconv_per_percent,spconv_ssim,per_delta_fvdb_minus_spconv,combined_per_percent
best 1,2430,0.00944138,0.99999324,0.00848770,0.99996837,0.00095367,0.00896454
best 2,1263,0.04158020,0.99995136,0.00343323,0.99999742,0.03814697,0.02250671
best 3,2615,0.03910065,0.99979110,0.02021790,0.99995720,0.01888275,0.02965927
worst 1,269,23.36263657,0.69926401,23.84090424,0.68415455,-0.47826767,23.60177040
worst 2,859,9.85975266,0.94886573,8.15143585,0.96840030,1.70831680,9.00559425
worst 3,953,6.08043671,0.98217617,7.56273270,0.96557862,-1.48229599,6.82158470
