frame,fvdb_per_percent,fvdb_ssim,fvdb_error_pixels,spconv_per_percent,spconv_ssim,spconv_error_pixels,per_delta_fvdb_minus_spconv,ssim_delta_fvdb_minus_spconv,combined_per_percent,max_per_percent
47,1.64976120,0.97684406,17299,0.94938278,0.98542094,9955,0.70037842,-0.00857688,1.29957199,1.64976120
48,1.80797577,0.97919419,18958,0.92248917,0.98480280,9673,0.88548660,-0.00560861,1.36523247,1.80797577
49,1.55830383,0.98186579,16340,0.90913773,0.98506433,9533,0.64916611,-0.00319854,1.23372078,1.55830383
50,1.35421753,0.98385562,14200,0.88109970,0.98549523,9239,0.47311783,-0.00163960,1.11765862,1.35421753
51,1.27620697,0.98497748,13382,0.85067749,0.98619214,8920,0.42552948,-0.00121466,1.06344223,1.27620697
52,1.24254227,0.98533171,13029,0.81882477,0.98675464,8586,0.42371750,-0.00142293,1.03068352,1.24254227
53,1.24750137,0.98538281,13081,0.80547333,0.98700541,8446,0.44202805,-0.00162260,1.02648735,1.24750137
54,1.22661591,0.98589940,12862,0.78334808,0.98741416,8214,0.44326782,-0.00151476,1.00498199,1.22661591
55,1.30252838,0.99084489,13658,0.77829361,0.98355832,8161,0.52423477,0.00728656,1.04041100,1.30252838
56,1.30910873,0.99081835,13727,0.77657700,0.98362029,8143,0.53253174,0.00719806,1.04284286,1.30910873
57,1.30882263,0.99101655,13724,0.75969696,0.98403406,7966,0.54912567,0.00698249,1.03425980,1.30882263
58,1.29709244,0.99082144,13601,0.74634552,0.98392299,7826,0.55074692,0.00689845,1.02171898,1.29709244
59,1.30491257,0.99080765,13683,0.73366165,0.98432175,7693,0.57125092,0.00648590,1.01928711,1.30491257
60,1.28431320,0.99105356,13467,0.73652267,0.98451904,7723,0.54779053,0.00653453,1.01041794,1.28431320
61,1.26762390,0.99097817,13292,0.71439743,0.98472543,7491,0.55322647,0.00625274,0.99101067,1.26762390
62,0.87509155,0.99328179,9176,0.53586960,0.99196705,5619,0.33922195,0.00131474,0.70548058,0.87509155
63,0.86088181,0.99343486,9027,0.50020218,0.99285044,5245,0.36067963,0.00058441,0.68054199,0.86088181
64,0.86307526,0.99317475,9050,0.48446655,0.99313806,5080,0.37860870,0.00003670,0.67377090,0.86307526
65,0.83951950,0.99337144,8803,0.44937134,0.99366879,4712,0.39014816,-0.00029735,0.64444542,0.83951950
