scene,radius,d,backend,frames,dice,fp_rate,fn_rate,fp_ratio,gv_ratio,infer_ms,pure_ms,peak_mb,predicted_pvv_folder
bigcity,r60,32,fvdb,55,0.959644,0.006081,0.075304,0.226959,0.421620,38.153,25.526,811.6,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r60_dice_20260524-004242_synthetic_may19_r60_fvdb_d32_b3_depth3_100ep-final_bigcity_r60_fvdb_d32_100ep_metrics_e99oTPW9/inference/0
bigcity,r60,32,spconv,55,0.960602,0.007261,0.072607,0.271030,0.466251,23.217,22.766,672.9,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_bigcity_r60_dice_20260524-005219_synthetic_may19_r60_spconv_d32_b3_depth3_100ep-final_bigcity_r60_spconv_d32_100ep_metrics_WIRlbpOG/inference/0
bigcity,r90,8,fvdb,41,0.950811,0.006811,0.097227,0.254684,0.500486,32.361,28.255,367.6,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r90_dice_20260524-010816_synthetic_may19_r90_fvdb_d8_b3_depth3_100ep-final_bigcity_r90_fvdb_d8_100ep_metrics_KTUc7nHp/inference/0
bigcity,r90,8,spconv,41,0.972445,0.007496,0.059125,0.279626,0.535793,17.552,17.123,313.9,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_bigcity_r90_dice_20260524-011517_synthetic_may19_r90_spconv_d8_b3_depth3_100ep-final_bigcity_r90_spconv_d8_100ep_metrics_DiNkGq3o/inference/0
bigcity,r90,16,fvdb,41,0.963571,0.008701,0.071492,0.325745,0.578285,34.425,27.586,460.1,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r90_dice_20260524-012854_synthetic_may19_r90_fvdb_d16_b3_depth3_100ep-final_bigcity_r90_fvdb_d16_100ep_metrics_gYOCFQST/inference/0
bigcity,r90,16,spconv,41,0.965977,0.009350,0.066559,0.349268,0.603225,17.527,17.113,380.5,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_bigcity_r90_dice_20260524-013622_synthetic_may19_r90_spconv_d16_b3_depth3_100ep-final_bigcity_r90_spconv_d16_100ep_metrics_LuI0If83/inference/0
bigcity,r90,32,fvdb,41,0.922015,0.005838,0.156457,0.218496,0.448309,37.618,25.359,808.3,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r90_dice_20260524-015131_synthetic_may19_r90_fvdb_d32_b3_depth3_100ep-final_bigcity_r90_fvdb_d32_100ep_metrics_zWTFAW8Y/inference/0
bigcity,r90,32,spconv,41,0.955536,0.007940,0.092373,0.297201,0.544394,23.459,23.007,670.9,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_bigcity_r90_dice_20260524-015922_synthetic_may19_r90_spconv_d32_b3_depth3_100ep-final_bigcity_r90_spconv_d32_100ep_metrics_TO8MCiHX/inference/0
industrial,r30,8,fvdb,459,0.993820,0.004207,0.007966,0.398070,0.812666,30.343,28.006,306.6,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260523-221929_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_industrial_r30_fvdb_d8_100ep_metrics_qXyTJFrt/inference/0
industrial,r30,8,spconv,459,0.993924,0.003287,0.009567,0.311023,0.724924,17.221,16.791,280.5,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260523-223401_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_industrial_r30_spconv_d8_100ep_metrics_vno2dYU0/inference/0
