backend,tag,exp_path,infer_path,predicted_count,eval_stats,fn_rate,fp_rate,dice
fvdb,20260508-130516_bc_clean_fvdb_d16_200ep,/home/atighedl/Adapted_fvdb/data_for_test/out/OACNNsInterleaved_bc_clean_dice,no_guess_20260508-130536_20260508-130516_bc_clean_fvdb_d16_200ep_iEmrfOTD,/home/atighedl/Adapted_fvdb/data_for_test/out/OACNNsInterleaved_bc_clean_dice_20260508-135312_20260508-130516_bc_clean_fvdb_d16_200ep-20260508-130516_bc_clean_fvdb_d16_200ep_infer_pJWnWKgF,97,/home/atighedl/Adapted_fvdb/data_for_test/out/OACNNsInterleaved_bc_clean_dice_20260508-135312_20260508-130516_bc_clean_fvdb_d16_200ep-20260508-130516_bc_clean_fvdb_d16_200ep_infer_pJWnWKgF/eval_stats.csv,0.00125306,0.00439525,0.99168952
spconv,20260508-130516_bc_clean_spconv_d16_200ep,/home/atighedl/neuralpvs/data_for_test/out_spconv/OACNNsInterleaved_bc_clean_dice,no_guess_20260508-135417_20260508-130516_bc_clean_spconv_d16_200ep_PjLFHROh,/home/atighedl/Adapted_fvdb/data_for_test/out_spconv/OACNNsInterleaved_bc_clean_dice_20260508-143934_20260508-130516_bc_clean_spconv_d16_200ep-20260508-130516_bc_clean_spconv_d16_200ep_infer_QGuL0E7h,97,/home/atighedl/Adapted_fvdb/data_for_test/out_spconv/OACNNsInterleaved_bc_clean_dice_20260508-143934_20260508-130516_bc_clean_spconv_d16_200ep-20260508-130516_bc_clean_spconv_d16_200ep_infer_QGuL0E7h/eval_stats.csv,0.00118702,0.00455540,0.99006677
